
 0,10000  -0,00003  -0,00013   0,00015   0,00001  -0,00010  -0,00016  -0,00004 
 0,20000   0,00002  -0,00011   0,00008  -0,00006  -0,00005  -0,00009  -0,00004 
 0,30000  -0,00004  -0,00010   0,00000   0,00004   0,00005  -0,00003  -0,00001 
 0,40000   0,00009  -0,00004  -0,00003  -0,00002  -0,00009  -0,00006  -0,00003 
 0,50000   0,00004  -0,00007  -0,00001  -0,00011  -0,00009  -0,00005  -0,00005 
 0,60000   0,00003  -0,00003   0,00002  -0,00012  -0,00016  -0,00000  -0,00004 
 0,70000   0,00007   0,00000   0,00005  -0,00013  -0,00010  -0,00009  -0,00003 
 0,80000   0,00011   0,00005   0,00002  -0,00013  -0,00009  -0,00012  -0,00003 
 0,90000   0,00004   0,00003  -0,00005  -0,00012  -0,00002  -0,00005  -0,00003 
 1,00000   0,00004   0,00001   0,00007  -0,00006  -0,00003  -0,00006  -0,00000 
 1,10000   0,00006   0,00002   0,00013  -0,00014  -0,00013  -0,00005  -0,00002 
 1,20000   0,00001   0,00005   0,00004  -0,00018  -0,00004  -0,00011  -0,00004 
 1,30000   0,00006   0,00007   0,00004  -0,00018  -0,00010  -0,00010  -0,00004 
 1,40000   0,00004   0,00002   0,00007  -0,00012  -0,00006  -0,00012  -0,00003 
 1,50000   0,00007  -0,00000   0,00005  -0,00014  -0,00014  -0,00008  -0,00004 
 1,60000   0,00008  -0,00001   0,00004  -0,00008  -0,00008  -0,00010  -0,00003 
 1,70000   0,00010   0,00002   0,00002  -0,00011  -0,00001  -0,00008  -0,00001 
 1,80000   0,00003   0,00007   0,00007  -0,00015  -0,00004  -0,00004  -0,00001 
 1,90000   0,00005   0,00005   0,00016  -0,00024  -0,00007   0,00001  -0,00001 
 2,00000  -0,00002   0,00009   0,00014  -0,00018  -0,00013  -0,00005  -0,00003 
 2,10000   0,00001   0,00004   0,00013  -0,00017  -0,00008  -0,00000  -0,00001 
 2,20000   0,00010   0,00003   0,00013  -0,00012  -0,00005   0,00002   0,00002 
 2,30000   0,00009  -0,00003   0,00009  -0,00007  -0,00005  -0,00006  -0,00001 
 2,40000   0,00014  -0,00006   0,00000  -0,00006  -0,00006  -0,00010  -0,00002 
 2,50000   0,00014  -0,00006  -0,00003  -0,00002   0,00001  -0,00007  -0,00000 
 2,60000   0,00013  -0,00002  -0,00006  -0,00005   0,00004  -0,00003   0,00000 
 2,70000   0,00009   0,00003   0,00000  -0,00008   0,00006  -0,00000   0,00002 
 2,80000   0,00009  -0,00003   0,00005  -0,00011   0,00004  -0,00009  -0,00001 
 2,90000   0,00004  -0,00004   0,00005  -0,00006  -0,00002  -0,00009  -0,00002 
 3,00000  -0,00000  -0,00001   0,00007  -0,00015  -0,00003  -0,00007  -0,00003 
 3,10000   0,00003  -0,00001  -0,00004  -0,00015   0,00002  -0,00005  -0,00004 
 3,20000  -0,00002  -0,00000   0,00002  -0,00005  -0,00000  -0,00003  -0,00001 
 3,30000   0,00005  -0,00010   0,00002  -0,00014   0,00001  -0,00003  -0,00003 
 3,40000   0,00008  -0,00006   0,00003  -0,00012   0,00004  -0,00004  -0,00001 
 3,50000   0,00006   0,00002   0,00009  -0,00002   0,00005   0,00004   0,00004 
 3,60000   0,00013   0,00002   0,00002  -0,00014   0,00002  -0,00002   0,00000 
 3,70000   0,00005  -0,00000   0,00003  -0,00008  -0,00002  -0,00010  -0,00002 
 3,80000   0,00013   0,00004   0,00007   0,00003  -0,00007  -0,00006   0,00002 
 3,90000   0,00004   0,00003   0,00001   0,00008  -0,00000  -0,00005   0,00002 
 4,00000   0,00005   0,00005   0,00006  -0,00003   0,00001   0,00001   0,00002 
 4,10000   0,00003   0,00009   0,00002   0,00003   0,00003  -0,00005   0,00002 
 4,20000   0,00006   0,00005   0,00014  -0,00001  -0,00003  -0,00004   0,00003 
 4,30000   0,00001   0,00002   0,00005  -0,00012  -0,00011   0,00006  -0,00001 
 4,40000   0,00000  -0,00001   0,00012  -0,00005  -0,00006  -0,00001  -0,00000 
 4,50000   0,00007  -0,00001   0,00014  -0,00003  -0,00007  -0,00001   0,00001 
 4,60000   0,00004   0,00008   0,00010   0,00002  -0,00004   0,00004   0,00004 
 4,70000   0,00010   0,00000   0,00011   0,00001   0,00008  -0,00004   0,00005 
 4,80000   0,00002   0,00003   0,00015   0,00005  -0,00002  -0,00011   0,00002 
 4,90000   0,00011   0,00007   0,00011   0,00004   0,00001  -0,00009   0,00004 
 5,00000  -0,00000  -0,00001   0,00015  -0,00001  -0,00002  -0,00007   0,00000 
 5,10000   0,00008   0,00000   0,00007  -0,00007   0,00003  -0,00011   0,00000 
 5,20000   0,00000  -0,00000   0,00002  -0,00004   0,00001  -0,00004  -0,00001 
 5,30000  -0,00002   0,00011   0,00010   0,00000  -0,00004  -0,00002   0,00002 
 5,40000   0,00007   0,00013   0,00009   0,00001  -0,00004  -0,00008   0,00003 
 5,50000   0,00005   0,00015   0,00017   0,00001  -0,00005  -0,00011   0,00004 
 5,60000   0,00005   0,00010   0,00020  -0,00006  -0,00002  -0,00006   0,00004 
 5,70000   0,00010   0,00009   0,00020  -0,00010  -0,00009  -0,00008   0,00002 
 5,80000   0,00009   0,00014   0,00019  -0,00005  -0,00010  -0,00007   0,00003 
 5,90000   0,00005   0,00009   0,00032  -0,00006   0,00001  -0,00010   0,00005 
 6,00000  -0,00002  -0,00001   0,00031  -0,00004  -0,00004  -0,00015   0,00001 
 6,10000   0,00004   0,00009   0,00032   0,00001  -0,00004  -0,00010   0,00005 
 6,20000  -0,00009   0,00008   0,00033   0,00007  -0,00013  -0,00000   0,00004 
 6,30000  -0,00002  -0,00004   0,00038  -0,00006  -0,00007  -0,00006   0,00002 
 6,40000   0,00001  -0,00006   0,00032  -0,00004   0,00004  -0,00009   0,00003 
 6,50000   0,00005  -0,00001   0,00028  -0,00000  -0,00008  -0,00003   0,00004 
 6,60000   0,00005  -0,00002   0,00023  -0,00004  -0,00009  -0,00005   0,00001 
 6,70000   0,00007  -0,00004   0,00038   0,00001  -0,00013  -0,00005   0,00004 
 6,80000   0,00005  -0,00000   0,00036   0,00002   0,00002  -0,00001   0,00007 
 6,90000   0,00004   0,00008   0,00037   0,00008   0,00004   0,00004   0,00011 
 7,00000   0,00000   0,00004   0,00038  -0,00001  -0,00002  -0,00005   0,00006 
 7,10000  -0,00001  -0,00000   0,00040  -0,00005   0,00020   0,00002   0,00009 
 7,20000   0,00001  -0,00000   0,00038  -0,00007   0,00024   0,00007   0,00010 
 7,30000   0,00003   0,00002   0,00045  -0,00004   0,00011   0,00000   0,00010 
 7,40000   0,00007  -0,00003   0,00037  -0,00002   0,00011   0,00004   0,00009 
 7,50000   0,00009  -0,00007   0,00036  -0,00005   0,00027   0,00002   0,00011 
 7,60000   0,00001   0,00001   0,00046   0,00003   0,00027   0,00006   0,00014 
 7,70000  -0,00002  -0,00002   0,00040   0,00006   0,00032   0,00001   0,00012 
